,Unnamed: 0,age,comment,likes/views,link,promo,user
29,29,MAY 24,"“One of the biggest things is just trusting yourself.” @naomiosaka
⠀
Just because your situation changes doesn’t mean you have to. #justdoit","249,998 likes",/Bx2ej7WlCxF/,1,nike
30,30,MAY 23,"@frankirby: Find your joy.

“Find your joy and make sure that you give 100 percent in everything you do.”
⠀
England striker Fran Kirby never changed her dream of playing for England even though there was a time she fell out of love with football. But her dream was always there and she rediscovered her love for the game. This summer, she prepares to return with the Lionesses again on the world’s biggest stage.
⠀
Don’t change your dream. Change the world. #justdoit","1,957,423",/Bx1Sh6nlrVL/,1,nike
31,31,MAY 23,"@carogarcia: Dream Crazier

“He’s always trying to push me because he knows I’m going to improve.” @carogarcia

Sometimes your first coach is your best one.

Caroline's father has guided her from her first tournament to her latest one. Challenging her and comforting her. Pushing her and patting her on the back. Celebrating and commiserating.

Traditionally, elite tennis players move on. They “grow up” and work with someone else. Obviously, Caroline is anything but traditional. #justdoit","1,224,484",/BxzrD13FP_I/,1,nike
32,32,MAY 21,"@sara.daebritz13: Talent is not enough

""Talent is not enough, it's important to be determined and disciplined.""
⠀
German midfielder Sara Däbritz always knew she was going to turn her childhood dream of becoming a professional footballer into a reality. So now it’s time for a new dream: that women’s games will sell out stadiums.
⠀
Don’t change your dream. Change the world. #justdoit","1,382,593",/BxwI91QlmCY/,1,nike
33,33,MAY 20,"@simonahalep: Dream Crazier

“If you look around the tennis world, all of the players are much taller than me. But I don’t feel small.” @simonahalep
⠀
As a child, when Simona Halep told the world that she wanted to be the next great tennis player, they laughed at her. They said that she was too small.
⠀
You know what Simona told us? They were right. Size matters.
⠀
But it isn’t height or weight that counts. It's the size of your heart. #justdoit","2,638,669",/BxsAqJCF23_/,1,nike
34,34,MAY 16,"@jasondayofficial: Dream Crazier

“There was a time where my Mom was using a kettle to warm up water so we could have showers.” @jasondayofficial
⠀
You don’t have to have much to have a dream.
⠀
When Jason Day was a kid, he didn’t have a bag full of fancy clubs. He didn’t have a country club membership. And at times, he didn’t even have hot water.
⠀
But none of that stopped him from the chase. #justdoit","1,455,457",/Bxh56tvFiiQ/,1,nike
35,35,MAY 15,This is what it looks like to be one of the world’s best tuberiders. #justdoit,"756,780",/BxfTLgBhWW3/,1,nike
36,36,APRIL 29,"@alexroca91: Dream Crazier

“No one can ever say you can’t do something. If I fail, I’ll see that for myself. But let me try, let me fly, and I’ll find out.”
⠀
Ever since he was a kid, @AlexRoca91’s Crazy Dream was always there. At first, doctors said he was crazy to even walk. Now he’s training to become the first athlete with cerebral palsy to finish the 600km Titan Desert Race, one of the toughest races on the planet. #justdoit","2,019,254",/Bw2FdPOHxHs/,1,nike
37,37,APRIL 28,"“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud
⠀
It takes more than elite endurance to win a world championship. More than a timely kick to take home a gold medal. More than a stubborn work ethic to break a world record.
⠀
It takes a whole lot of belief. And that same belief carried Eliud Kipchoge to win today in London. #justdoit","393,006 likes",/BwzBHPMlfH4/,1,nike
38,38,APRIL 27,"Mo Farah: Dream Crazier

“Most people think that there is a limit, but there is always more.” @gomofarah
⠀
For most people, this isn’t what retirement looks like. Most people relax. They spend less time on the road and more time at home. Most people slow down.
⠀
Obviously, Mo Farah is not most people. #justdoit","2,211,986",/Bww8uyZlwHl/,1,nike
39,39,APRIL 14,Never stop chasing your crazy dream. #justdoit,"12,915,607",/BwPv2G-l4Jf/,1,nike
40,40,APRIL 13,"“It is great to see the trend of women coming to the marathon, taking on the challenge and really growing with it.” - @paula_radcliffe
⠀
Tomorrow, 60,000 runners will line up in Paris. That’s 60,000 runners who’ve committed weekends, early mornings, late nights, some sanity, and a few toenails to run 26.2 miles. Yeah, they’ve given up a lot. But it’s nothing compared to what they’ve gained.
⠀
Follow @nikerunning to support @voltwomen. #justdoit","391,008 likes",/BwNs0GeFLwF/,1,nike
41,41,MARCH 22,This is what it looks like to be a two-time figure skating Olympic medalist. @jmedvedevaj #justdoit,"3,208,249",/BvUQXO_lf4U/,1,nike
42,42,MARCH 21,"@jmedvedevaj: Dream Crazier

“The most important thing for me is to do everything from the heart.”
⠀
Evgenia Medvedeva’s crazy dream isn’t to win a world championship. She’s done that, twice. It isn’t to make it to the Olympics. She’s brought home two medals. It isn’t even to break a world record. Because she’s already shattered one.
⠀
Evgenia’s crazy dream isn’t an accolade or accomplishment. It isn't written in a record book. It’s written on her heart. #justdoit","4,373,320",/BvRrKwJFBE0/,1,nike
43,43,MARCH 14,"Sam Kerr: Birthplace of Dreams

Sam Kerr
Four Time Golden Boot Winner
Perth Australia

Introducing Birthplace of Dreams. Stream the series premiere featuring @samanthakerr20 on IGTV now. #justdoit","2,347,921",/Bu_rd68FHHC/,1,nike
44,44,MARCH 11,"“World’s greatest selfie? I’d like to think so.” — @samanthakerr20
⠀
First, find a crazy dream. Then, find the others whose dreams are just as crazy. #justdoit","369,892 likes",/Bu4B_qBlVGY/,1,nike
45,45,MARCH 6,"Ayesha McGowan: Dream Crazier

“At the end of the day, it’s all about opportunity. My goal is to knock down the door.” @ayesuppose
⠀
Ayesha McGowan’s crazy dream isn’t just for her. It’s for an entire generation of black women who come after her. #justdoit","2,317,098",/BurC0_eFmS4/,1,nike
46,46,MARCH 4,"The Honeybeez: Dream Crazier

“Any dream is possible. If you just want this crazy dream to happen, you just have to put the work in.""
⠀
You know what some people consider a crazy dream? A body positive world. One that's full of confidence. A world that’s dripping in self-love.
⠀
But that’s the ""crazy” world that Montgomery’s Honeybeez are fighting for. #justdoit","3,685,568",/BumKZitF_0E/,1,nike
49,49,3 DAYS AGO,"For too many Americans, the past is present. It’s time to end the corrosion of the American soul and confront the persistent inequalities in our system. To do anything else is not enough.","38,248 likes",/ByqZTsvHrOM/,1,pete.buttigieg
52,52,4 DAYS AGO,Here’s a quick behind the scenes look at yesterday’s foreign policy speech in Bloomington. We are in a moment of great challenge and possibility — let us rise to meet it.,"40,930 likes",/BynjojnnrBb/,1,pete.buttigieg
53,53,5 DAYS AGO,"It’s not about one person or one issue or even one election — it can’t be. This movement has to be about all of us, from every community and every city. Will you stand with us?","49,514 likes",/BynMiE0n3nO/,1,pete.buttigieg
56,56,6 DAYS AGO,"It’s time for the next generation of leadership to step up. We can define the next era, but only if we work together and only if we start now. Are you with us?","56,296 likes",/BykfyRhnrCx/,1,pete.buttigieg
58,58,7 DAYS AGO,Thanks to everyone who turned out for our picnic in Cedar Rapids before @iademocrats Hall of Fame dinner.,"49,864 likes",/Bygn_WrnQDB/,1,pete.buttigieg
61,61,JUNE 8,"Education is part of the basis for freedom in this country, which is why it is time for a Secretary of Education who believes in public education.","29,032 likes",/Byc9PBxnwrS/,1,pete.buttigieg
66,66,JUNE 5,We need to come up with something completely different — that's where I come in.,"179,600",/ByWRDXJnqYf/,1,pete.buttigieg
67,67,JUNE 5,Thursday at 11PM on @shodesusandmero,"48,963 likes",/ByVZq0gHtqC/,1,pete.buttigieg
71,71,JUNE 3,There is no honest politics that revolves around the word again.,"92,526",/ByP_3OAnaFG/,1,pete.buttigieg
74,74,4 DAYS AGO,"🖤my 💎@jadellebh choker, thank you @kimkardashian for my birthday present 🖤","1,751,191 likes",/BynrRlhFiGt/,1,kourtneykardash
77,77,JUNE 6,Travel Diary: Bali 🌴on poosh.com,"816,050 likes",/ByXvRIBFPOg/,1,kourtneykardash
78,78,JUNE 5,"I sat down with my friend Emily to talk about our love of lingerie, inner confidence, building an empire, and never letting negativity get in the way. Our convo is live on poosh.com","1,721,256 likes",/ByWBdRjlW-b/,1,kourtneykardash
79,79,JUNE 5,Find out which foundation I use every day that is actually good for your skin🧡on poosh.com,"705,801 likes",/ByVhFoslq0Y/,1,kourtneykardash
82,82,MAY 31,I love being pregnant. Things I did to help me feel so good during my pregnancies on poosh.com 👼🏼👼🏼👼🏼 link in bio,"1,610,841 likes",/ByI4hU8lQr3/,1,kourtneykardash
84,84,MAY 29,My Bali travel diary is up on @poosh today ❤️,"804,239 likes",/ByDs19UFebY/,1,kourtneykardash
85,85,MAY 29,My Bali travel diary is up on @poosh today 🖤,"1,084,635 likes",/ByDsxBIFwFw/,1,kourtneykardash
86,86,MAY 28,"“Is my tampon string showing?” @steph_shep whispered to me. The source of life shouldn’t be embarrassing or hard to talk about. Mothers, teach your sons too. Join me and Steph in the conversation on poosh.com, and Happy Menstrual Hygiene Day!","1,417,953 likes",/ByAyfYHlkhk/,1,kourtneykardash
88,88,MAY 24,"Cheat days are necessary, how the @poosh team and I enjoy our guilt-free days off on poosh.com 🥐","1,786,258 likes",/Bx3FeIolFlD/,1,kourtneykardash
89,89,MAY 24,"favorite picture from my @papermagazine shoot

Photography: @jamienelson6
Story: @katfrozenpizza
Managing Editor: @justintmoran
Art Direction: @dwndwntwn
Stylist: @chloeandchenelle
Makeup: @miyakemakeup
Hair: @andrewfitzsimons
Nails: @kimkimnails
Set Design: Daniel Horowitz
Seamstress: @osumenko
On-Set Producer: @gveeve","980,356 likes",/Bx27qtrFZxN/,1,kourtneykardash
91,91,MAY 23,what we do on our lunch break at my @papermagazine shoot 📸:@andrewfitzsimons,"961,425 likes",/Bx0S8CQl55I/,1,kourtneykardash
92,92,MAY 23,"Poosh Calling ☎️ @papermagazine

Photography: @jamienelson6
Story: @katfrozenpizza
Managing Editor: @justintmoran
Art Direction: @dwndwntwn
Stylist: @chloeandchenelle
Makeup: @miyakemakeup
Hair: @andrewfitzsimons
Nails: @kimkimnails
Set Design: Daniel Horowitz
Seamstress: @osumenko
On-Set Producer: @gveeve","865,966 likes",/BxzzD0HlIIH/,1,kourtneykardash
105,105,APRIL 24,"This Glycolic Acid from @yeouthskincare is my recent addition to my skincare routine. I’ve been using it for several weeks and really enjoyed how it effectively hydrates and softens my skin. It also evens out blemishes on my face! I look forward to noticing more difference in the upcoming weeks 🤗😎! Use code SOCIAL20 to get 20% off on your first order on Yeouth.com! #ad#sponsored .
.
.
.
.#skin#skincareroutine#skincare#boost#facial#product#amazing#cosmetics#selfie#me#portrait#la#losangeles#girl#loveyourself#sunkissed#beauty#fitness#hair#makeup#mua#look#ootd#instagood#photooftheday#loveit#flawless",174 likes,/BwqPlD2HPcF/,1,lin_leelovesfashion
125,125,1 DAY AGO,"‪Appreciate the veterans who joined me for a discussion in Sumter as they continue serving by advocating for those who they served alongside. We're going to fully invest in veteran resources and their education, job training, housing, mental and physical health care, and earned benefits. That's a promise this country must keep, and under my administration, we will.‬","7,285 likes",/Byvv_uEnifI/,1,betoorourke
127,127,2 DAYS AGO,‪We will #FightFor15 and we will win.‬,"9,176 likes",/Byu6g5mHrS2/,1,betoorourke
131,131,4 DAYS AGO,Hope you’ll be watching tonight at 11:35 ET/10:35 CT!,"26,103 likes",/Byom3u4HIV_/,1,betoorourke
132,132,4 DAYS AGO,‪Joining Stephen Colbert tonight on the Late Show! Hope you’ll be watching at 11:35 ET/10:35 CT.‬,"46,935",/ByoJevhHsGO/,1,betoorourke
133,133,4 DAYS AGO,"I unveiled a robust plan today to protect LGBTQ+ rights and finally secure comprehensive legal protection for members of the LGBTQ+ community. The proposal would leverage executive power and call for congressional action that ensures that LGBTQ+ people have full equality and opportunity. Our plan not only includes actions to immediately reverse the Trump Administration’s discriminatory policies, but also calls for action to ensure equal treatment for LGBTQ+ individuals. Additionally, the plan prioritizes America’s role in protecting LGBTQ+ people around the globe. Full details in link.","36,750 likes",/Byn1o3ZHyes/,1,betoorourke
147,147,5 DAYS AGO,"Right here, direct from the lamp. Right here for your very much wish-fulfillment. Thank you 🧞‍♂️💙✨
.
.
.
I know I posted this Genie Bound with the Lamp a little while ago, but I just had to highlight this outfit on its own because I think it’s one of my favorite Bounds I’ve put together!! I have the blue pants to match Genie’s signature color. The top has zigzag red and gold stripes for Genie’s belt and cuffs. I also added some earrings with Genie’s silhouette from @couturekingdomofficial. Finally I did a little makeup look complete with magical glitter and Genie blue eyeliner!! ❤️🤩","2,411 likes",/Bylhw_Hl2CL/,1,abbycorkins
148,148,6 DAYS AGO,"☀️Summer is my happy place ☀️ Y’all call me crazy, but I love dressing for the summer! Dresses, rompers, tanks, all of my favorite things 😎👗 I am SO EXCITED to post my first Lookbook video featuring some of my favorite @shopreddress Florida-approved pieces up on YouTube!! 😆 Here is a quick little snippet- head to the link in my bio to watch the full video and see all the looks!! 💕💕💕
.
.
.
Doing a video like this has honestly been a dream of mine for the longest time and I am just so proud of how it turned out!! 😭 Thank you to the best boyfriend ever @taylor.attebery who helped me make this video- it wouldn’t have been possible without him and he wins ALL the boy friend awards 🥇🏆😂 Let me know which look is your favorite and if you would like to see any other videos like this?? 😘🌈🙏🏻
.
.
.
#RDBabe #shopreddress #reddresscollab","3,584",/ByjDoVUF6or/,1,abbycorkins
149,149,JUNE 8,"You poor, simple fools. Thinking you could defeat me. Me! The Mistress of Evil 💜🖤
.
.
.
I had the wonderful opportunity the other night to check out the new Disney Villains After Hours event at Magic Kingdom 😈 If you don’t know, I have a huge soft spot for the villains. Maleficent is hands down my FAVORITE Disney character 💚 My favorite parts of the event were the DJ Dance Party by the castle and Space Mountain completely in the dark with villainous voices in the background (it seriously felt SO MUCH FASTER 😱)!!
.
.
.
For the event, of course I had to dress my best for the baddies 👑 My shirt has four of my favorite queens on it- Maleficent, Ursula, Cruella, and the Evil Queen herself 💔🗡 And then I did my makeup using the @colourpopcosmetics Disney Villains collection! My favorite part of the look was the Ursula lipstick💄 which made me ready to help some Poor Unfortunate Souls. Any volunteers?? 😈🐙
.
.
.
Thank you to Disney for inviting me! #hosted #villainsafterhours","2,307 likes",/BydgpKdF8BP/,1,abbycorkins
151,151,JUNE 3,"Ooo...a Disneybound! 💚💙💜
.
.
.
Okay so I have decided that I am going to Bound as many characters from Toy Story as I can before the new movie is released!! 😆😆😆 I have already done my girl Bo Peep and here is my Alien inspired look! (claw sold separately 👾) Let me know what other characters you all would like to see!! 🧐💚
.
.
.
Bag c/o: @shopharveys releasing on 6/8! 💜","2,192 likes",/ByREnbhlPMR/,1,abbycorkins
153,153,MAY 30,"The Phenomenal Cosmic Power & The Itty Bitty Living Space 🧞‍♂️💙✨
.
.
.
What do you do when you find a shimmery gold jumpsuit on sale?! Do a Lamp Disneybound of course lol 🤣 I seriously am LOVING seeing everyone’s Aladdin Bounds right now!! This was my favorite Disney movie as a kid and I love seeing all the love it’s getting now!! ❤️💙
📷: @taylor.attebery","2,545 likes",/ByGt7vOFHVz/,1,abbycorkins
154,154,MAY 26,"Hi, I’m Joy! 🌟🌸✨
.
.
.
Okay so while I genuinely love all Pixar movies, Inside Out has such a special place in my heart 😭💗 Seriously y’all I love Joy so much and I relate to her so deeply!! I have always been that overly energetic bouncing off the walls person 😆🙃 I legit FREAKED when I saw this vintage dress because I’ve always wanted to Disneybound as Joy, but never could find the right piece UNTIL NOW 🤩😍 Also I decided to take pictures here in Epcot because Spaceship Earth kinda reminds me of a core memory 🔮😅 Which Inside Out character do you guys most relate to?? ☺️😭😡😥🤢","2,455 likes",/Bx8QtYZFL1B/,1,abbycorkins
155,155,MAY 24,"I do believe in fairies. I do! I do!🧚🏻‍♀️✨
.
.
.
Yes, I am a grown woman. And YES I ABSOLUTELY want these light up Tink wings!! 😍 I mean they even have different light settings and a hing in the back so you can look like you’re flying!! 😱 Like Pixie, PLEASE 🤩🙏🏻. .
.
.
Also SO MANY of you were asking where I got my rainbow dresses the other day! Both of them are from @shopreddress!!! They have the BEST colorful outfits, perfect for any fairy!! #RDBabe 🌈💕🧚🏻‍♀️✨","2,006 likes",/Bx2TQK3FrP7/,1,abbycorkins
156,156,MAY 21,"Found a sitter for my sheep so I could twirl around Epcot💕🤣🐑
.
.
.
T-minus 1 Month until Toy Story 4!! 💖😱🎉 I am so excited to see my favorite Toys back in action! And even happier to see my girl Bo back on the screen!! 🎀 While I thought the way TS3 ended was so perfect, I am seriously loving the trailers for the new movie! I was so skeptical at first, but it looks just as adorable and hilarious as the original movies I love. What are all of your thoughts on TS4?! Anyone else as excited as I am!! 😆🙋🏼‍♀️
.
.
.
Photography by the amazing @paigemercerphotography!! She’s so talented!!! 💕💕💕","2,865 likes",/BxvZ3ZSlmKZ/,1,abbycorkins
157,157,MAY 20,"Oh, say can you sea? 🌊🌟❤️
.
.
.
Okay so clearly this is Disney SPRINGS and not a sea, but I couldn’t resist the pun 😅🙈
.
.
.
In other news, Harvey’s is releasing this ADORABLE Americana Red, White, and Blue collection this weekend!! 💙😆✨","1,930 likes",/Bxs_C4gF7Ua/,1,abbycorkins
158,158,MAY 17,"✨C L O S E D✨
I gushed about how much I LOVE this new @loungefly Harry Potter print & @boxlunchgifts was kind enough to send one bag for me and one bag to give away to one of you!! 😆❤️ So here’s how to enter:
🌟Like this picture
🌟Make sure you are following both me (@abbycorkins) & @boxlunchgifts 🌟Tag two friends who you’d want to grab a Butterbeer with in the comments! 🍻
.
.
.
Feel free to enter multiple times! Giveaway will end Monday night! 💫
.
.
.
Must be 18+ years old. This giveaway is not affiliated with Instagram. Must follow Instagram guidelines. US residents only (sorry, no international shipping).","2,084 likes",/BxlLJpHFJzW/,1,abbycorkins
160,160,MAY 12,"Once Upon A December 👑💙✨
.
.
.
I hope you all are having a lovely weekend!! 💕 Today is my sister’s birthday and we are celebrating in the BEST way by seeing Anastasia the musical!! 💛 And of course, since it’s me, I had to dress for the theme 🙃🤷🏼‍♀️ So here is my @thedisneybound (or Fox bound? Which is now owned by Disney? Lol 😅🙈) of my favorite Anastasia dress! Someone find me a tiara and meet me in Paris 😘✈️","2,273 likes",/BxYT44HlvPK/,1,abbycorkins
162,162,MAY 6,"Butterfly in the sky, I can fly twice as high 🦋💕🌈🌸✨
.
.
.
Okay who remembers Reading Rainbow?? 🌈😂 It used to be my favorite program we watched in school! I used to get SO EXCITED for the Scholastic Book Fair and I would take those yellow paper magazines we got and circle every book I wanted lol 📚 Plus, lets be honest, the theme song is STILL a BOP 🦋🎶 .
.
.
I hope you’re Monday was magical & that you ate off to a phenomenal week!! ✨ I just uploaded my first YouTube video in TWO YEARS 🙈 on my channel (link is in my bio)!! I have missed videos so much because I feel like I have so much more freedom to be myself, so I am trying to get back into it! ☺️ Tell me what kinds of things you guys would like to see from me?? I want to share about all things that make me happy; Disney, fashion, and anything else you guys would like?? Let me know in the comments!! 💕💕💕","2,312 likes",/BxIyTK6FxPp/,1,abbycorkins
164,164,MAY 2,"Bloom baby, bloom 🌸🌻🌼🌷
.
.
.
Had the most beautiful Minnie-cation these past two days!! In case you missed it, Minnie is throwing a little Garden Party from now until May 6th, and you’re all invited!! 💐 Check out her cute new dress (I need a matching one PRONTO 🙃), snap some pics with the leading lady herself, and snack on some cupcakes & lattes! 🧁☕️ .
.
.
Thank you so much to @minniemouse for being the most incredible host and also to @waltdisneyworld and @disney for inviting me! 💕
.
.
.
And mostly thank you so much to all of you for following along and for being so kind & supportive!! 💖🥰 Hope you all have a Bow-eautiful week!! 🎀😘💋 #sponsored","2,434 likes",/Bw-fdl1FaKy/,1,abbycorkins
165,165,APRIL 30,"Who, moi?? 💕🐷🌸🎀
.
.
.
Alright y’all, here it is!! My Dapper Day look 2019!! 😆💖 I mean can we just talk for a moment about what a fashion ICON Miss Piggy is?! 🐽 She OWNS the stage & never shies away from being her true self 🙌🏻 Growing up, I always LOVED the Muppets, especially Muppet Treasure Island 🌴 Miss Piggy can fight for herself and doesn’t care what anyone else thinks of her, which makes her a true QUEEN 👑
.
.
.
Picture was taken by the lovely @paigemercerphotography who is so incredible!!! Go check her out!! 💕💕","2,514 likes",/Bw4nzTOFucY/,1,abbycorkins
166,166,APRIL 25,"This little Pooh Bear is just wondering if the Tree of Life happens to have any hunny?? ❤️🐻🍯
.
.
.
Also bonus: if you zoom super far in, you can see that my headband from @raritybycasey has little bumblebees on it! I thought Pooh would approve 🐝
.
.
.
Check my stories for how to win a giveaway for the matching wallet!! 😆","2,034 likes",/BwrohDTFJDv/,1,abbycorkins
167,167,APRIL 22,"You can call me Flower if you want to, I don’t mind 🦌🌸💗
.
.
.
I hope everyone had a lovely weekend! This spring weather in Florida has been EVERYTHING 🌷I was so happy it was finally nice enough to wear these adorable Bambi tights @fundotcom_ sent me! 💕
.
.
.
I actually wore this over-the-top outfit (I know I’m on level 💯 here, but that’s why I love it 😅) to the auto repair shop this weekend and I’m absolutely positive everyone thought I was crazy lol 😂🙃 (I mean, they’re not wrong). What was even funnier was watching me climb into my car from the passenger side in a giant tutu and getting caught in the door 🤣🤣🤣 (If you missed my story this past weekend, a tree fell on my car and broke the drivers side door handle off 🙄🌳) .
.
.
But ya know, I was dressing for my Spring Epcot theme, and I just thought the auto shop would like to see a bit of that magic too 🌸💗😜🥰","2,068 likes",/BwkjbPXFSyT/,1,abbycorkins
170,170,27 MINUTES AGO,"Leaving the warmth & sun of California and heading to Denver for Outdoor Retailer Trade show this week. If you are around I’m doing a few free print signings & teaching a workshop. More info soon!
After that heading to Iceland for a bike race. See y’all on the road!","5,692 likes",/By0uFgHlx5n/,1,chrisburkard
172,172,1 DAY AGO,"You can’t fake a smile wearing a 5mm wetsuit while surfing near the Arctic, your cheek muscles just wont let you. .. which is what made making this film with these gals so incredible, world champ @stephaniegilmore @lacurren & @kassiasurf were such a joy. It could have been a northern lights induced hysteria or the mushrooms... hahah, but everyone was genuinely stoked when the weather got terribly cold, cars broke down and we got stuck for hours on mtn passes. @connanmockasin & andrew vanwyngarden probably had something to do with the stoke factor too.
These gals made this trip one of my favorites.
Tonight im in LA for the sold out premier of the film @selfdiscoveryforsocialsurvival check it soon online or check for dates www.sdssfilm.com","63,431 likes",/BywLruQl1_i/,1,chrisburkard
177,177,6 DAYS AGO,"Good men are hard to come by. Which is why it’s important to celebrate not just the Dad’s in our lives but any father figure that has prioritized time with family as the most important thing. My Father’s Day sale is going on now. All my prints are 20% off with the code FATHERSDAY19 in my shop at www.ChrisBurkard.com
Thanks to the great examples out there 🤙🏼","20,377 likes",/Byi540ilHn2/,1,chrisburkard
184,184,JUNE 3,"*SOLD OUT
I’ll never be as cool as my Alpaca Suzy Q 🦙. So I made a pin to celebrate her awesomeness & strict dress code. Wear em with pride & support a furry friend.
A very limited run available in my shop 👉🏼 www.ChrisBurkardshop.com
Or my bio link.
Thanks to the talented young designer @ajwiley.design for making this happen 🙌🏼","43,809 likes",/ByReackl1Fq/,1,chrisburkard
187,187,MAY 29,"Stories from the road. My slideshow event in Berkely this Friday is SOLD OUT but we will be releasing a few more tickets online today & at the door. Also I’ll be hanging around the @roarkberkeley shop all day Friday to sign books, chat & eat vegan donuts :)
Saturday I’m teaching an intensive photo workshop in Berkeley with just a few spots left. See y’all there! .
Details & tickets here : www.ChrisBurkard.com/events or in my bio link. *proceeds from this event go to support @surfrider 🤙","42,957 likes",/ByDtCx3FIN1/,1,chrisburkard
191,191,MAY 23,"I didn’t even think it was physically possible, when the Higginbotham brothers @byhandproject told me they were going to prone paddle from Alaska to Mexico...unassisted, virtually unsupported, no corporate sponsors, just each other and a goal. Not only did they accomplish their mission but they documented the process, the good, the bad, the hilarious, and the heavy. The objective was to survive the hectic journey, but what they found was an even deeper awareness of who they are- which is the best part of any adventure. My good friend and director Kellen Keene are seeking to share it all with us through their film.
.
Their film is almost finished and needs a final push from people that still believe in good old fashioned storytelling. Check it out at @byhandproject and learn how you can help out!","173,473",/Bx0-WKoFtxV/,1,chrisburkard
194,194,MAY 21,"Can tripods be better? I have always had a love/ hate relationship with tripods. Two years ago I sat with my friend Peter discussing all the issues I I found with the bulky modern day design & he told me about an idea he had that at the time I thought was impossible. Well today is the day, The Kickstarter for the completely revolutionized tripod is here and I am psyched. I have been keeping my lips sealed for the last few months & I’m so stoked to finally share what I have been using the last few months.
Get to know @peakdesign ‘s completely rebuilt from the ground up tripod in my bio link.
Smaller, lighter with about a hundred more improvements.
.
http://ks.peakdesign.com/tHPe9QcD","39,775 likes",/BxuryoTFwqr/,1,chrisburkard
195,195,3 DAYS AGO,Hannah Queen of Scots #bts,"151,679 likes",/BysbeemHfSV/,1,alabamahannah
196,196,4 DAYS AGO,cold and kilts and whiskey.,"182,503 likes",/ByoBBwQHdca/,1,alabamahannah
197,197,5 DAYS AGO,"I didn’t choose the castle life, the castle life chose me 🌹🏰 #thebachelorette","172,333 likes",/Bylz5Nbnw6R/,1,alabamahannah
198,198,6 DAYS AGO,In the words of fellow queen @beyonce....BOW DOWN. #thebachelorette #queen 🌹👑,"829,976",/BykSzbjHjsN/,1,alabamahannah
199,199,6 DAYS AGO,Hands up if you’re excited for @bacheloretteabc to return to Mondays with ABC’s hot new summer series Grand Hotel! Premiering after #TheBachelorette it’s gonna get spicy 🔥 #GrandHotel #ABCxYouTubeTV,"778,971",/ByjeGOrH2yf/,1,alabamahannah
201,201,JUNE 6,mood when @bacheloretteabc airs on Tuesday instead of Monday. ⚔️,"164,467 likes",/ByYrwDVn5Gd/,1,alabamahannah
