,Unnamed: 0,age,comment,likes/views,link,promo,user
97,97,JUNE 5,"Former U.S. President Nixon said that he and his wife had been to over 80 countries and 100 cities all over the world, but nowhere else is as pretty as Yangshuo, Guilin in China. Ancient Chinese poets said “ The mountains and rivers of Guilin are the most beautiful around the world.” Oh well, I was definitely impressed by the stunning scenery of this small town in the Southwest of China. What a pleasure to be here!! .
.
.
.
.#guilin#yangshuo#china#nature#amazing#view#travel#chinese#beautiful#mountains#river#instatravel#fashion#fitness#hike#instadaily#lifestyle#style#sports#outdoors#beauty#losangeles#wanderlust#vacation",223 likes,/ByVEkeNBu12/,0,lin_leelovesfashion
98,98,MAY 31,"24 hours in Guangzhou - signtseeing turned into a photoshoot. 😆
.
.
.
.
.#travel#guangzhou#canton#vacation#photoshoot#instatravel#model#beauty#losangeles#asiangirls#love#amazing#fashion#dress#style#lifestyle#la#pose#summer#ootd#outfit#dress#instadaily#cute#makeup",204 likes,/ByKDVMeheQ3/,0,lin_leelovesfashion
99,99,MAY 30,"Two years ago, I took Steve to one of the most scenic spots - Yangma Island -in my hometown, where he took my photo and was amazed at the beauty of where I grew up. Two years later, we came back here as a married couple and he snapped a photo of me at the exactly same location. 💕 .
.
.
.
.#home#china#chinese#beauty#cute#beautiful#fashion#travel#lifestyle#style#amazing#love#loveyou#wanderlust#instatravel#yantai#ocean#view#nature#ootd#goals#couple#sweet#cutie#outfit#lookbook",167 likes,/ByFyuIoBHbF/,0,lin_leelovesfashion
100,100,MAY 27,"Steve said i should wear this ancient Chinese outfit to school every day. 😍 i agree! .
.
.
.#chinese#wedding#girl#amazing#beauty#beautiful#gorgeous#stunning#flawless #girl#look#makeup#style#fashion#model#lifestyle#ootd#outfit#photooftheday#mua#asian#red#bride#photoshoot#portrait#photography",227 likes,/Bx_MNkMhDp5/,0,lin_leelovesfashion
101,101,MAY 21,"Oh my Buddha! The view is so incredible that photos cannot do it justice. 🤗
.
.
.
.#home#amazing#view#fashion#style#lifestyle#vacation#travel#wanderlust#goodvibes#look#china#yantai#photooftheday#losangeles#summer#outfit#gorgeous#beautiful#loveit#instatravel#goals#chinesegirl",215 likes,/Bxv4X3NlEhg/,0,lin_leelovesfashion
102,102,MAY 15,"Re-visiting Jeju Island after almost 19 years 💕
.
.
.
.#jeju#korea#travel#wanderlust#vacation#instagood#love#view#instatravel#amazing#beauty#beautiful#portrait#losangeles#fashion#style#lifestyle#outfit#wiwt#asian#babe#look#model",200 likes,/BxgUuQ7lq9S/,0,lin_leelovesfashion
103,103,MAY 12,"Happy Mother’s Day, 妈妈！My role model, my best friend and my inspiration! 💕❤️
.
.
.
.#mothersday#mom#mother#photooftheday#beautiful#cute#amazing#losangeles#daughter#tbt#ily#love#loveyou#instalove#look#wedding#family#instagood#fam#ootd#losangeles#la#beauty#pretty#china#portrait#inspiration",170 likes,/BxYyxqMHEnt/,0,lin_leelovesfashion
104,104,APRIL 28,"Awkward smile 🙂
.
.
.
.
.#photooftheday#flowers#travel#weekend#tbt#instagood#love#beauty#spring#outfit#fashion#girl#losangeles#lifestyle#style#amazing#look#fun#smile#colorful#gorgeous#beautiful#instatravel#makeup#wiwt",206 likes,/Bw0CfyvHsP0/,0,lin_leelovesfashion
106,106,APRIL 21,"Goof ball 😳
.
.
.
.
.#alpaca#babe#cute#cutie#socal #adorable#goofy#tbt#weekend#travel#animal#wanderlust#amazing#instalove#losangeles#portrait#goodvibes#photooftheday#lovely#outfit#fashion#look#fun",184 likes,/BwiExT_Hm7D/,0,lin_leelovesfashion
107,107,APRIL 15,"My weekly meal plan: 🍓🌞strawberry shortcake, strawberry lemonade, strawberry pie, strawberry milkshake, strawberry salad... .
.
.
.
.#socal#weekend#wanderlust#instatravel#travel#nature#farm#losangeles#cute#amazing#fun#goodvibes#sunkissed#love#outfit#strawberry#beauty#fitness#fit#ootd#fashion#style#lifestyle#smile",278 likes,/BwS9EQKngoF/,0,lin_leelovesfashion
108,108,APRIL 13,"In need a glass of wine to forget the cruel fact that finals are coming soon 😑🙄
.
.
.
.
.#photooftheday#beauty#girl#amazing#wine#winetasting#weekend#travel#wanderlust#instatravel#classy#ootd#photooftheday#photoshoot#beautiful#outfit#fashion#lifestyle#style#ootd#look#makeup#portrait#losangeles",200 likes,/BwOULCXnRkz/,0,lin_leelovesfashion
109,109,APRIL 5,"High Tea date: a hug for the soul and spirit. 💕
.📷 ma cherie élégante @emanalami .
.
.
.
.#hightea#afternoontea#cute#lovely#date#tgif#losangeles#lifestyle#amazing#style#goals#ootd#outfit#whatiwore#wiwt#lookbook#look#fashion#travel#pink#love#sisters#friends#girls#la",234 likes,/Bv5KH_bHIFT/,0,lin_leelovesfashion
110,110,APRIL 3,"Where’s Top of the World? Well, below my feet! 😛
.
.
.
.#spring#weekend#tbt#travel#fun#instagood#instatravel#wanderlust#fitness#fit#instalove#love#amazing#view#fashion#style#stylish#girl#outfit#losangeles#oc#photooftheday#ootd#goals",236 likes,/Bvz9uoqHCCc/,0,lin_leelovesfashion
111,111,MARCH 30,"Happy birthday, my dearest hubby! I love you and thank you for always being older than me. #forever25 😛🥳🤣💕
.
.
.
.
.#happybirthday#birthday#hbd#hubby#cute#love#instalove#loveyou#iloveyou#losangeles#amazing#beautiful#la#style#lifestyle#sweet#couple#couplegoals#goals#foodporn#foodie#instagood#tgif",217 likes,/Bvpt3DPHtQz/,0,lin_leelovesfashion
112,112,MARCH 24,"So happy/proud of my sistas for their big life events! Congrats on babe Valerie for being wifed up! I am so looking forward to your big day with your Mr. Right. 🎎Congrats on babe Nicole for securing a consulting job offer and soon graduating from USC with double degrees! 🎓 So happy for my squad!!! I guess we’re all killing it in the “adulting” lesson. Good things happen when you stay positive. .
.
.
.#friends#sisters#squadgoals#squad#goals#amazing#lovely#style#lifestyle#slay#friendship#instagood#instalove#love#stunning#weekend#hike#losangeles#nature#fitness#beauty#cute#girls",239 likes,/BvZqIvqHFj5/,0,lin_leelovesfashion
113,113,MARCH 17,"May I now be eligible for graduation from YouTube School of Makeup Tutorial? 😅🤔
.
.
.
.
.#makeup#mua#selfie#asian#babe#girl#makeuptutorial#weekend#face#cute#beauty#beautiful#losangeles#stunning#instagood#instalove#love#look#gorgeous#makeupartist#amazing#lookbook#hot#style",249 likes,/BvIUO1JHSC1/,0,lin_leelovesfashion
114,114,MARCH 13,"You are the soy sauce to my dumplings 🥟
.
.
.
.
.#couple#goals#couplegoals#wifey#hubby#losangeles#weekend#tbt#outfit#fashion#cute#sweet#ootd#wcw#lookbook#lifestyle#style#amazing#gorgeous#ball#lawschool#beautiful#love#stunning",948 likes,/Bu-F21tHOuG/,0,lin_leelovesfashion
115,115,MARCH 11,"March, let spring begin 💕🍃😍 btw where are the seals at? 🤔
.
.
.
.#fashion#outfit#style#lifestyle#ootd#lookbook#look#girl#beauty#beautiful#amazing#losangeles#spring#la#goodvibes#instagood#love#lovely#wiwt#daily#photooftheday#fashionista",171 likes,/Bu4u5iinwxy/,0,lin_leelovesfashion
116,116,FEBRUARY 28,"When it’s -9 degree (-23 degrees Celsius) outside, but who cares?? ❄️❄️ 🛀🛁
.
.
.
.
.#goals#travel#quebec#beautiful#canada#wanderlust#instatravel#cute#amazing#love#pretty#girl#hot#losangeles#traveler#vacation#lifestyle#style#fashion#relax#relaxing#bath#look#lookbook#photooftheday",216 likes,/Bucz0FcHhq0/,0,lin_leelovesfashion
117,117,FEBRUARY 17,"Our 3/100 Valentine’s Day. Marrying you is the best decision I made. @sdd250 💕😘
.
.
.
.
.#valentine#valentinesday#rose#weekend#fun#couple#goals#couplesgoals#amazing#cute#beautiful#beauty#love#instalove#style#lifestyle#losangeles#la#loveyou#photooftheday#fashion#ootd#look#gorgeous#gift",200 likes,/Bt_rN4DHfg7/,0,lin_leelovesfashion
118,118,JANUARY 26,"Hindu shenanigan 🙏
I’m a copycat @dzadykyan 😂
.
.
.
.
.#travel#fashion#weekend#fun#amazing#lovely#cute#instatravel#la#wanderlust#beauty#beautiful#gorgeous#outfit#happy#instagood#style#lifestyle#ootd#look#losangeles",225 likes,/BtH-42bHmUM/,0,lin_leelovesfashion
119,119,JANUARY 6,"Actually thinking about Asian food 😳
.
.
.
.
.#dominicanrepublic#honeymoon#dr#travel#amazing#fun#vacation#tbt#mua#makeup#fashion#style#lifestyle#outfit#cute#beauty#beautiful#foodporn#foodie#gorgeous#girl#losangeles#love#instatravel",191 likes,/BsUNR76HGUO/,0,lin_leelovesfashion
120,120,21 HOURS AGO,Such a great way to end an amazing return to South Carolina. Big thanks to everyone who joined us in Greenville this afternoon and across the state over the past three days. Looking forward to being back again soon.,"6,597 likes",/ByyOIyCHrel/,0,betoorourke
121,121,1 DAY AGO,‪Grateful for the opportunity to join Rev. Dr. Keith McDaniel Sr. and the congregation of Macedonia Missionary Baptist Church for a Father’s Day service this morning. ‬,"5,942 likes",/Byx2EGwHgfm/,0,betoorourke
122,122,1 DAY AGO,"‪Started a beautiful Sunday morning with a donut discussion in Spartanburg. Our thanks to Senator Reese for hosting us, for bringing everyone together, and for introducing us to the community as we continue to show up everywhere, for everyone, every single day.‬","7,901 likes",/Byxk7c2HciZ/,0,betoorourke
123,123,1 DAY AGO,Really great to be back in Columbia tonight to wrap up another inspiring day across South Carolina. Thank you to everyone who joined us.,"11,184 likes",/BywLQ-yHZTu/,0,betoorourke
124,124,1 DAY AGO,"Our fourth event of the day brought us to Sumter for an energizing town hall. Grateful for everyone who joined us, shared their ideas, offered their perspectives, and stepped up to be part of building this grassroots campaign across South Carolina and throughout our country.","6,524 likes",/Byv1oPkHLy3/,0,betoorourke
126,126,2 DAYS AGO,"‪Grateful for the powerful discussion in North Charleston this morning about fixing a justice system that is patently unjust. We are committed to continuing the urgent work necessary to secure equity, opportunity, justice, and full civil rights for everyone in this country.","5,351 likes",/ByvFRH8n23y/,0,betoorourke
128,128,2 DAYS AGO,"‪Today and every single day, I’m standing strong with workers in South Carolina and across the country to #fightfor15, to fight for a minimum wage that is a living wage, to fight for the right to organize at a time when unions are under attack, and to fight for an economy that works for all.‬","23,940",/Byu2NgRnsnj/,0,betoorourke
129,129,2 DAYS AGO,"‪While visiting the Gullah Geechee Nation and hearing about their proud tradition of fierce independence, I saw where the Harriet Tubman Monument will be built and learned about Robert Smalls, who took possession of a confederate ship to bring more people freedom and to ensure justice at risk to his own life. Too often we see these heroic stories written out of our curriculum and written out of our history.","33,526",/BytPas5nMVv/,0,betoorourke
130,130,2 DAYS AGO,"‪Grateful for the opportunity to meet with, listen to, and learn from citizens of the Gullah Geechee Nation during tonight’s town hall. Thank you for welcoming us and instructing us in the history and traditions that inspire not just this country but people beyond our shores.‬","11,375 likes",/BytNSi_nach/,0,betoorourke
134,134,5 DAYS AGO,‪Thank you to everyone who joined us on a run to the LGBT Memorial this morning as we celebrate Pride Month and commit to the work ahead so we can ensure there is full civil rights and full equality in this country.‬,"46,442",/BynMVt8HPw6/,0,betoorourke
135,135,5 DAYS AGO,"Three years after Pulse, we honor the 49 lives that were senselessly taken with our actions. With a commitment to ending violence against LGBTQ+ Americans. With a commitment to fighting discrimination. And with a commitment to securing full equality. That’s why I just released a new plan that would ensure LGBTQ+ Americans can live openly without fear of discrimination or violence and would immediately reverse the Trump Administration’s discriminatory policies.","24,114 likes",/BynHpMfn8L5/,0,betoorourke
136,136,5 DAYS AGO,"We’re showing up everywhere, talking to everyone, and building a grassroots campaign from the ground up. Last weekend in Iowa, we met with farmers and local leaders, got to hear from Iowans at four town halls, joined the Capital City Pride fest, and opened our Linn County organizing office. We’re building momentum in Iowa, and we’re not slowing down.","33,036",/Bylx--RHWOZ/,0,betoorourke
137,137,7 DAYS AGO,"‪I don’t listen to the NRA or the gun lobby. I listen to people, and they’ve made it clear we need universal background checks without exception, to stop selling weapons of war into our communities, to implement red flag laws, and to fully fund research on ending gun violence.‬","30,123",/ByiTw5DnBai/,0,betoorourke
138,138,7 DAYS AGO,Peggy told me that this was the first town hall she had ever been to. Very grateful that she joined us this morning.,"7,469 likes",/ByiO3xIHTO-/,0,betoorourke
139,139,7 DAYS AGO,‪Ban all PAC contributions to campaigns and finally return power to people in our democracy.‬,"23,465",/ByiId7sniSI/,0,betoorourke
140,140,7 DAYS AGO,"‪An energizing day at the Iowa Democratic Party Hall of Fame. So many incredible candidates, local leaders, organizers, and volunteers all coming together and fighting alongside one another to ensure that we not only defeat Trump but that we also overcome the greatest set of challenges this country has ever faced.‬ I’m confident that by working together, we are up to the task ahead of us.","11,377 likes",/ByhBLacHJ8q/,0,betoorourke
141,141,JUNE 9,Deeply grateful for the opportunity to join Pastor Whitfield and the congregation of Mt. Carmel Baptist Church this morning. A beautiful service and a reminder of the power and joy that we can bring forth when we come together to meet the challenges we face.‬,"8,232 likes",/Byf5hkvnq6_/,0,betoorourke
142,142,JUNE 9,‪Amy and I started the morning at Morg’s Diner for breakfast with Rep. Ras Smith. Really great to hear about his leadership in the Waterloo community and his work in education to close the achievement gap while implementing dropout prevention services.‬,"11,683 likes",/Byfqn8Ln6xP/,0,betoorourke
143,143,JUNE 8,"‪Getting to meet some of the volunteers in Linn County who are knocking on doors, organizing their community, and bringing more people into this campaign and our democracy.‬","26,087",/ByeUE9EH3Pj/,0,betoorourke
144,144,JUNE 8,Appreciate all of the incredible volunteers who were working hard tonight in Cedar Rapids and across the state.,"10,234 likes",/ByeMQavnVaF/,0,betoorourke
145,145,20 HOURS AGO,"Hey there, Space Ranger 💫💚✨
.
.
.
Next Toy Story @thedisneybound up: Buzz Lightyear! 🌟 For this look, I did a white skirt with a green cami for Buzz’s space suit. I added a purple fanny pack because it also kind of reminds me of wings a little bit 😅 Then I added some green star earrings and some silver Space Ranger-worthy shoes! ✨ Also Taylor and I just finished watching Toy Story 3 this afternoon and I SOBBED LIKE A BABY 😭 When Andy is saying goodbye to Woody, go ahead and rip my heart out, Pixar 💔 Anyone else extremely emotionally invested in these animated toys?? Like they are a part of my very childhood 🥺","2,343 likes",/ByyYMISl0Ls/,0,abbycorkins
146,146,2 DAYS AGO,"Aɴᴅʏ's {🅁🄾🄾🄼} ɪs ᴄᴏᴍɪɴɢ ☁️😱
.
.
.
Alright y’all, less than a week until Toy Story 4 is here and I’m really getting in the spirit!! I’ve already watched the first movie and plan on watching the other two before seeing the Fourth one in theaters! I go back and forth with which movie is my favorite, definitely either 2 or 3. I think the Third one is the funniest, but Jessie’s When She Loved Me song hits me right in the feels every time 😢💔. Which movie is your favorite?? 💙","3,063 likes",/BytWP63ll2o/,0,abbycorkins
150,150,JUNE 5,"If it’s true what they say, you are what you eat, then I am most definitely a rainbow sprinkled Mickey Rice Krispie treat 😂🌈🐭💕
.
.
.
Rice Krispie treats have always been my go-to Park snack. Make them rainbow Pride themed?! I WILL EAT NOTHING ELSE 🏳️‍🌈😋🦄 I gotta know; what is your personal park snack of choice?? Also can we please get all the foods rainbow themed?! 😭 I’ll take some form of rainbow coffee please (if this is even possible 😅)? 🌈☕️💖","3,075 likes",/ByWEbGdFnnf/,0,abbycorkins
152,152,JUNE 1,"🌈✨HAPPY PRIDE✨🌈 to all my gays, guys, gals, bi, pan, non-identifying, non-binary, and everyone in the community!! ❤️🧡💛💚💙💜 I’m bi, he’s trans, and LOVE IS LOVE 💕💕💕
.
.
.
Not too get too emotional here, but I remember how hard it was growing up not knowing anyone else like me. Anyone else who was attracted to both genders. I thought there was something wrong with me. I didn’t even know that being bisexual was a thing. I spent a lot of years refusing to even open up to the possibility of love because it scared me so incredibly much. It took me 23 years to understand and accept myself. And now I am truly the happiest I have EVER been with the best partner I have ever had in my whole entire life 💝 Life can be scary for those who are trying to figure out their sexuality, so let’s have the BEST Pride month ever & celebrate all of the wonderful members of this LGBTQ+ community and the allies who support us!! 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈","4,876 likes",/ByLbW4lFOVB/,0,abbycorkins
159,159,MAY 15,"Now Premiering....🎬🎞✨
.
.
.
Flashbacks from the most perfect night ⛅️ Taylor and I spent the eventing at Studios (my favorite) before waking over to the Boardwalk to grab some Ample Hills ice cream 🍦. After that we went and took some pictures inside the photo booth because it’s honestly one of my favorite things to do! I have so many strips of pictures from different fun park times with friends! Each one reminds me of a day when we would squish inside a very hot booth with no air circulation to pose like goofs 😆😅 Also there’s just something about having the pictures physically printed out 📷 (if you use your magic band, digital copies like these will also sync to your app so you can save them on your phone too!) 💓 If you haven’t done these photo booths in the parks before (or also on the Boardwalk), I HIGHLY recommend it!! .
.
.
Also can we appreciate how ADORABLE Taylor is?! 😍 Like gosh dang, how did I ever get so lucky?!💕 🍀🥰","2,410 likes",/BxgDn1hFQb1/,0,abbycorkins
161,161,MAY 8,"I got 99 Ears, but these ones will forever be my favorites ❤️🖤
.
.
.
These classic Minnie ears will always be my favorite because they instantly make me happy every time I put them on 😌 I feel like every outfit looks better with a bow 🎀 Which piece of Disney merch/ears make you the happiest?? 😆🌈✨","1,898 likes",/BxOIVhblvNF/,0,abbycorkins
163,163,MAY 4,"A long time ago in a galaxy far, far away...💫✨
.
.
.
Happy Star Wars Day friends!! 😆🙌🏻 If you have been following me for a while, you KNOW Star Wars is my JAM 🌟 There is no series that I can put on that instantly makes me so happy. It just reminds me so much of my childhood and of running around my living room with a lightsaber 😂 Hope y’all enjoy today and 💫✨MAY THE FOURTH BE WITH YOU✨💫","3,303 likes",/BxDWdELlac1/,0,abbycorkins
168,168,APRIL 18,"Coachella: Disney Springs edition 🌸🎡💕😂
.
.
.
Can you imagine if there WERE a festival at Disney?? Bring back all the old Disney Bands 🎶 (I mean the Jonas Brothers are already back in business 🙃), fill it with Mickey bars & cupcakes, style is Minnie ears as far as the eye can see. 🐭🎀 What do you guys think the ideal Disney Festival would look like?? ❤️✨","2,346 likes",/BwalqkmFC8p/,0,abbycorkins
169,169,APRIL 17,"Always trying to pattern & color coordinate with my surroundings 💙😂
.
.
.
Here’s the juicy stuff: so this past weekend, @thepixietraveler and I had breakfast at Trattoria al Forno on the Boardwalk 😋 (right around the corner from this picture! Sorry I forgot to Story it! 🙈). It’s honestly one of my FAVORITE breakfasts on property 🥚🥞 And here’s a little tip if you want to go there, but you a) aren’t interested in character dining or b) want to save some $. If you go up to the desk there, you can actually ask to sit in a small room off to the side that is separate from the rest of the dining room. The characters don’t come in that room & you can order off of a menu a la cart! So it’s MUCH cheaper!! 🎉 Also bonus is you don’t have to make a reservation for this! (Though it can get full from time to time, but I’ve honestly never had to wait too long) And the BEST part is their Iced Coffee, which is topped with whipped cream & is sooo sweet and delicious!! ☕️🤤 (the coffee is honestly my favorite part of this whole place) So there ya go!! 🙌🏻 A little insider tip on how to save some money & also have some of the best coffee of your life!! 😉😘💖","3,131 likes",/BwW_VdTl6BN/,0,abbycorkins
171,171,18 HOURS AGO,"This experience they call Fatherhood has been the greatest gift I could have ever been given. I still remember being 25 years old.. coming home from my first trip to Japan where I shot a cover story for Surfer magazine and I was buzzing with excitement. I came home to my wife @brea_face who announced by holding up a onesie .. that we were pregnant. I don’t even remember the words that came out of my mouth but I’m sure they were some type of supportive mumble. But the truth was I was scared sh*tless, trembling and more afraid then I’ve ever been. I’ve dealt with my fair share of insecurity as a young dad raising two boys.. the added pressure of not growing up with my Father made me question myself In many ways. I would say that for me personally there has been nothing that has provided more growth more healing and pride than raising these two with my amazing wife @brea_face .","52,722 likes",/Byyxt5DlRp_/,0,chrisburkard
173,173,2 DAYS AGO,Food for me is always about texture. I would say the same recipe applies for photography. If I can envision what it might feel like just by looking at it ... chances are It will be compelling.,"53,998 likes",/Byt2Xm-l-q4/,0,chrisburkard
174,174,4 DAYS AGO,We often refer to the photographer as “the Artist” but I’ve always felt like we’re really just documenting the real Artist’s work.,"25,522 likes",/ByqRwlpFi0t/,0,chrisburkard
175,175,5 DAYS AGO,"Is there a more beautiful display of the Earth’s beating heart than the Grand Prismatic Spring from above? .
This was taken a few years ago during a cold clear winter day out the window of a small 2 seater Cessna plane with a 24-70mm f2.8 lens and a circular polarizer. Sony A7rII at the time.","48,424 likes",/BymLWtTFIPa/,0,chrisburkard
176,176,6 DAYS AGO,If you were stuck on a Sandbar with two other people who would they be?,"51,956 likes",/BylMmN7FI8p/,0,chrisburkard
178,178,7 DAYS AGO,A marvelous work & wonder.,"63,695 likes",/Byg8mU8Ftz5/,0,chrisburkard
179,179,JUNE 8,"If there’s ever a time to reflect on what the ocean has given me personally, it’s World Ocean Day. I have been lucky to document the ocean my entire career. Living next to it is something that in many ways has allowed me to take its beauty for granted at times. Every year I try to rededicate myself & family to make better decisions that ultimately affect these life giving waters. Single use plastic is among the top priority in our home and although we struggle, we have made big changes that help reduce our use.
Hope you all enjoy this day and get out to see the big blue!","63,737 likes",/BydXKcHFxCy/,0,chrisburkard
